Individual	Individual_Subsistence Strategy
AR0402	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0404	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0405	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0406	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0408	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0410	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0411	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0412	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0414	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0416	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0418	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0420	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0422	Agriculture
AR0423	Agriculture
AR0424	Agriculture
AR0425	Agriculture
AR0426	Agriculture
AR0427	Agriculture
AR0428	
AR0429	
AR0430	Hunter-gatherer
AR0431	Hunter-gatherer
AR0432	
AR0433	
AR0434	Hunter-gatherer
AR0436	
AR0437	
AR0438	
AR0439	
AR0440	
AR0441	
AR0442	
AR0443	
AR0444	
AR0445	
AR0446	
AR0447	
AR0448	
AR0449	
AR0450	
AR0451	
AR0452	
AR0453	
AR0454	Hunter-Gatherer
AR0455	Mixed economy
AR0456	
AR0457	
AR0458	
AR0459	
AR0460	
AR0461	
AR0462	
AR0463	
AR0464	
AR0465	
AR0466	
AR0467	
AR0468	
AR0469	
AR0470	
AR0471	
AR0472	
AR0473	
AR0474	
AR0475	
AR0435	
AR0478	
AR0479	
AR0480	
AR0481	
AR0482	
AR0483	
AR0484	
AR0485	
AR0486	
AR0487	
AR0488	
AR0489	
AR0490	
AR0491	
AR0492	
AR0493	Agriculturalists
AR0494	Agriculturalists
AR0495	Agriculturalists
AR0496	Agriculturalists
AR0497	Agriculturalists
AR0498	Agriculturalists
AR0499	Agriculturalists
AR0500	maize agriculturalists
AR0501	maize agriculturalists
AR0502	maize agriculturalists
AR0503	maize agriculturalists
AR0504	maize agriculturalists
AR0505	maize agriculturalists
AR0506	maize agriculturalists
AR0507	maize agriculturalists
AR0508	maize agriculturalists
AR0509	maize agriculturalists
AR0510	maize agriculturalists
AR0511	maize agriculturalists
AR0512	maize agriculturalists
AR0513	maize agriculturalists
AR0514	maize agriculturalists
AR0515	maize agriculturalists
AR0516	maize agriculturalists
AR0517	maize agriculturalists
AR0518	maize agriculturalists
AR0519	maize agriculturalists
AR0520	maize agriculturalists
AR0521	maize agriculturalists
AR0522	maize agriculturalists
AR0523	maize agriculturalists
AR0524	maize agriculturalists
AR0525	Cazadores-recolectores (y horticultores?)
AR0526	maize agriculturalists
AR0527	maize agriculturalists
AR0528	maize agriculturalists
AR0529	M
AR0530	CR
AR0531	M
AR0532	
AR0533	CR
AR0534	M
AR0535	AG
AR0536	PC
AR0537	
AR0538	M
AR0539	M
AR0540	CR
AR0541	CR
AR0542	CR
AR0543	M
AR0544	M
AR0545	PC
AR0546	PC
AR0547	CR
AR0548	CR/M
AR0549	PC
AR0550	CR
AR0551	PC
AR0552	AG
AR0553	
AR0554	
AR0555	PC
AR0556	
AR0557	M
AR0558	CR/M
AR0559	CR/M
AR0560	CR
AR0561	M
AR0562	M
AR0563	PC
AR0564	AG
AR0565	M
AR0566	CR
AR0567	CR/M
AR0568	CR/M
AR0569	CR/M
AR0570	CR/M
AR0571	CR/M
AR0572	CR/M
AR0573	CR/M
AR0574	CR/M
AR0575	CR/M
AR0576	CR/M
AR0577	CR/M
AR0578	CR/M
AR0579	CR/M
AR0580	CR/M
AR0581	CR/M
AR0582	CR/M
AR0583	CR/M
AR0584	CR/M
AR0585	CR/M
AR0586	CR/M
AR0587	CR/M
AR0588	CR/M
AR0589	CR/M
AR0590	CR/M
AR0591	CR/M
AR0592	CR/M
AR0593	CR/M
AR0594	CR
AR0595	CR/M
AR0596	M
AR0597	
AR0598	CR
AR0599	AG
AR0600	CR
AR0601	
AR0602	
AR0603	
AR0604	CR
AR0605	CR
AR0606	CR
AR0607	PC
AR0608	
AR0609	CR
AR0610	CR
AR0611	
AR0612	AG
AR0613	
AR0614	M
AR0615	M
AR0616	PC
AR0617	CR
AR0618	M
AR0619	PC
AR0620	CR
AR0621	M
AR0622	CR
AR0623	CR
AR0624	M
AR0625	PC
AR0626	AG
AR0627	M
AR0628	CR
AR0629	M
AR0630	M
AR0631	PC
AR0632	CR/M
AR0633	CR/M
AR0634	PC
AR0635	
AR0636	M
AR0637	
AR0638	CR
AR0639	
AR0640	Cazadores-recolectores (y horticultores?)
AR0641	Agricultores con ganadería de camélidos (con importante aporte de la caza y recolección)
AR0670	PC
AR0671	M
AR0672	
AR0673	CR
AR0674	CR/M
AR0675	
AR0676	
AR0677	
AR0678	CR
AR0679	
AR0680	CR/M
AR0681	PC
AR0682	CR/M
AR0683	CR/M
AR0684	PC
AR0685	CR/M
AR0686	M
AR0687	CR/M
AR0688	CR
AR0689	CR
AR0690	CR
AR0691	CR
AR0692	
AR0693	CR
AR0694	CR/M
AR0695	CR/M
AR0696	PC
